Product_Name,Link,Rating,Reviews,Price
"Samsung Galaxy Z Fold6 5G AI Smartphone (Silver Shadow, 12GB RAM, 1TB Storage)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTMxNTI1Nzc0Nzk4NDcwOjE3MjY2ODc4Nzg6c3BfYXRmOjMwMDI1MDAwNDQ0NjQzMjo6MDo6&url=%2FSamsung-Galaxy-Smartphone-Silver-Storage%2Fdp%2FB0D83YD1TF%2Fref%3Dsr_1_1_sspa%3Fcrid%3D3GK5FSN2G3LR9%26dib%3DeyJ2IjoiMSJ9.fBoT9YHOu7XyDgLwb7un44oBM4FWwnKGWoqj289e4KKlpoaB7XQhiPUHsC08Q6UMzTps6hS3py-cbhLJwDz3s_72X81qdsupnEOW1v5LtcxyZpci4RMZbTHvQokmGrwnOhVTOHmLzwgTszS-qI8sMAJ50xdzPs7e95r4ZXc8B3j3vNQExZBD-IvjvHiueE_OtxPg9Rga-4alMQnEta5EkxJHik7Er7rJWvsaMR_mujU.9LjvVtDAHUjw0xLTwQU04GtE5cwblUPypXJVT6oGvWo%26dib_tag%3Dse%26keywords%3Dsmartphone%26qid%3D1726687878%26sprefix%3D%252Caps%252C228%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,4.5 out of 5 stars,53,"2,00,998"
"Samsung Galaxy S23 Ultra 5G AI Smartphone (Green, 12GB, 256GB Storage)",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyOTMxNTI1Nzc0Nzk4NDcwOjE3MjY2ODc4Nzg6c3BfYXRmOjIwMTE2MjE3NjQzMzk4OjowOjo&url=%2FSamsung-Galaxy-Ultra-Green-Storage%2Fdp%2FB0BT9CXXXX%2Fref%3Dsr_1_2_sspa%3Fcrid%3D3GK5FSN2G3LR9%26dib%3DeyJ2IjoiMSJ9.fBoT9YHOu7XyDgLwb7un44oBM4FWwnKGWoqj289e4KKlpoaB7XQhiPUHsC08Q6UMzTps6hS3py-cbhLJwDz3s_72X81qdsupnEOW1v5LtcxyZpci4RMZbTHvQokmGrwnOhVTOHmLzwgTszS-qI8sMAJ50xdzPs7e95r4ZXc8B3j3vNQExZBD-IvjvHiueE_OtxPg9Rga-4alMQnEta5EkxJHik7Er7rJWvsaMR_mujU.9LjvVtDAHUjw0xLTwQU04GtE5cwblUPypXJVT6oGvWo%26dib_tag%3Dse%26keywords%3Dsmartphone%26qid%3D1726687878%26sprefix%3D%252Caps%252C228%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,4.5 out of 5 stars,"1,381","79,999"
"Redmi 13C (Starfrost White, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera",https://www.amazon.in/Starfrost-Storage-Powered-MediaTek-Display/dp/B0CMTX362W/ref=sr_1_3?crid=3GK5FSN2G3LR9&dib=eyJ2IjoiMSJ9.fBoT9YHOu7XyDgLwb7un44oBM4FWwnKGWoqj289e4KKlpoaB7XQhiPUHsC08Q6UMzTps6hS3py-cbhLJwDz3s_72X81qdsupnEOW1v5LtcxyZpci4RMZbTHvQokmGrwnOhVTOHmLzwgTszS-qI8sMAJ50xdzPs7e95r4ZXc8B3j3vNQExZBD-IvjvHiueE_OtxPg9Rga-4alMQnEta5EkxJHik7Er7rJWvsaMR_mujU.9LjvVtDAHUjw0xLTwQU04GtE5cwblUPypXJVT6oGvWo&dib_tag=se&keywords=smartphone&qid=1726687878&sprefix=%2Caps%2C228&sr=8-3,4.1 out of 5 stars,"7,472","8,498"
"Redmi 13C (Starfrost White, 4GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera",https://www.amazon.in/Starfrost-Storage-Powered-MediaTek-Display/dp/B0CMTY5P4V/ref=sr_1_4?crid=3GK5FSN2G3LR9&dib=eyJ2IjoiMSJ9.fBoT9YHOu7XyDgLwb7un44oBM4FWwnKGWoqj289e4KKlpoaB7XQhiPUHsC08Q6UMzTps6hS3py-cbhLJwDz3s_72X81qdsupnEOW1v5LtcxyZpci4RMZbTHvQokmGrwnOhVTOHmLzwgTszS-qI8sMAJ50xdzPs7e95r4ZXc8B3j3vNQExZBD-IvjvHiueE_OtxPg9Rga-4alMQnEta5EkxJHik7Er7rJWvsaMR_mujU.9LjvVtDAHUjw0xLTwQU04GtE5cwblUPypXJVT6oGvWo&dib_tag=se&keywords=smartphone&qid=1726687878&sprefix=%2Caps%2C228&sr=8-4,4.1 out of 5 stars,"7,472","7,698"
"Redmi 13C (Starshine Green, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera",https://www.amazon.in/Starshine-Storage-Powered-MediaTek-Display/dp/B0CMTWJ5RV/ref=sr_1_5?crid=3GK5FSN2G3LR9&dib=eyJ2IjoiMSJ9.fBoT9YHOu7XyDgLwb7un44oBM4FWwnKGWoqj289e4KKlpoaB7XQhiPUHsC08Q6UMzTps6hS3py-cbhLJwDz3s_72X81qdsupnEOW1v5LtcxyZpci4RMZbTHvQokmGrwnOhVTOHmLzwgTszS-qI8sMAJ50xdzPs7e95r4ZXc8B3j3vNQExZBD-IvjvHiueE_OtxPg9Rga-4alMQnEta5EkxJHik7Er7rJWvsaMR_mujU.9LjvVtDAHUjw0xLTwQU04GtE5cwblUPypXJVT6oGvWo&dib_tag=se&keywords=smartphone&qid=1726687878&sprefix=%2Caps%2C228&sr=8-5,4.1 out of 5 stars,"7,472","8,498"
POCO C65 (Pastel Blue 4GB RAM 128GB Storage),https://www.amazon.in/POCO-C65-Pastel-Blue-128GB/dp/B0CQG4RX37/ref=sr_1_6?crid=3GK5FSN2G3LR9&dib=eyJ2IjoiMSJ9.fBoT9YHOu7XyDgLwb7un44oBM4FWwnKGWoqj289e4KKlpoaB7XQhiPUHsC08Q6UMzTps6hS3py-cbhLJwDz3s_72X81qdsupnEOW1v5LtcxyZpci4RMZbTHvQokmGrwnOhVTOHmLzwgTszS-qI8sMAJ50xdzPs7e95r4ZXc8B3j3vNQExZBD-IvjvHiueE_OtxPg9Rga-4alMQnEta5EkxJHik7Er7rJWvsaMR_mujU.9LjvVtDAHUjw0xLTwQU04GtE5cwblUPypXJVT6oGvWo&dib_tag=se&keywords=smartphone&qid=1726687878&sprefix=%2Caps%2C228&sr=8-6,4.0 out of 5 stars,"2,210","6,799"
"iQOO Z9 Lite 5G (Mocha Brown, 4GB RAM, 128GB Storage) | Dimensity 6300 5G | 50MP Sony AI Camera | Charger in The Box",https://www.amazon.in/iQOO-Storage-Dimensity-Camera-Charger/dp/B07WFPLL2H/ref=sr_1_7?crid=3GK5FSN2G3LR9&dib=eyJ2IjoiMSJ9.fBoT9YHOu7XyDgLwb7un44oBM4FWwnKGWoqj289e4KKlpoaB7XQhiPUHsC08Q6UMzTps6hS3py-cbhLJwDz3s_72X81qdsupnEOW1v5LtcxyZpci4RMZbTHvQokmGrwnOhVTOHmLzwgTszS-qI8sMAJ50xdzPs7e95r4ZXc8B3j3vNQExZBD-IvjvHiueE_OtxPg9Rga-4alMQnEta5EkxJHik7Er7rJWvsaMR_mujU.9LjvVtDAHUjw0xLTwQU04GtE5cwblUPypXJVT6oGvWo&dib_tag=se&keywords=smartphone&qid=1726687878&sprefix=%2Caps%2C228&sr=8-7,4.0 out of 5 stars,803,"10,499"
"Redmi 13C 5G (Startrail Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display",https://www.amazon.in/Redmi-Startrail-Storage-MediaTek-Dimensity/dp/B0CNX6WVG5/ref=sr_1_8?crid=3GK5FSN2G3LR9&dib=eyJ2IjoiMSJ9.fBoT9YHOu7XyDgLwb7un44oBM4FWwnKGWoqj289e4KKlpoaB7XQhiPUHsC08Q6UMzTps6hS3py-cbhLJwDz3s_72X81qdsupnEOW1v5LtcxyZpci4RMZbTHvQokmGrwnOhVTOHmLzwgTszS-qI8sMAJ50xdzPs7e95r4ZXc8B3j3vNQExZBD-IvjvHiueE_OtxPg9Rga-4alMQnEta5EkxJHik7Er7rJWvsaMR_mujU.9LjvVtDAHUjw0xLTwQU04GtE5cwblUPypXJVT6oGvWo&dib_tag=se&keywords=smartphone&qid=1726687878&sprefix=%2Caps%2C228&sr=8-8,4.0 out of 5 stars,"7,517","9,199"
"realme NARZO N61 (Voyage Blue,6GB RAM+128GB Storage) 90Hz Eye Comfort Display | IP54 Dust & Water Resistance | 48-Month Fluency | Charger in The Box",https://www.amazon.in/realme-Storage-Comfort-Resistance-48-Month/dp/B0D947DTLT/ref=sr_1_9?crid=3GK5FSN2G3LR9&dib=eyJ2IjoiMSJ9.fBoT9YHOu7XyDgLwb7un44oBM4FWwnKGWoqj289e4KKlpoaB7XQhiPUHsC08Q6UMzTps6hS3py-cbhLJwDz3s_72X81qdsupnEOW1v5LtcxyZpci4RMZbTHvQokmGrwnOhVTOHmLzwgTszS-qI8sMAJ50xdzPs7e95r4ZXc8B3j3vNQExZBD-IvjvHiueE_OtxPg9Rga-4alMQnEta5EkxJHik7Er7rJWvsaMR_mujU.9LjvVtDAHUjw0xLTwQU04GtE5cwblUPypXJVT6oGvWo&dib_tag=se&keywords=smartphone&qid=1726687878&sprefix=%2Caps%2C228&sr=8-9,3.9 out of 5 stars,153,"8,498"
"Redmi 13C (Stardust Black, 4GB RAM, 128GB Storage) | Powered by 4G Mediatek Helio G85 | 90Hz Display | 50MP AI Triple Camera",https://www.amazon.in/Stardust-Storage-Powered-Mediatek-Display/dp/B0CMTTRN8M/ref=sr_1_10?crid=3GK5FSN2G3LR9&dib=eyJ2IjoiMSJ9.fBoT9YHOu7XyDgLwb7un44oBM4FWwnKGWoqj289e4KKlpoaB7XQhiPUHsC08Q6UMzTps6hS3py-cbhLJwDz3s_72X81qdsupnEOW1v5LtcxyZpci4RMZbTHvQokmGrwnOhVTOHmLzwgTszS-qI8sMAJ50xdzPs7e95r4ZXc8B3j3vNQExZBD-IvjvHiueE_OtxPg9Rga-4alMQnEta5EkxJHik7Er7rJWvsaMR_mujU.9LjvVtDAHUjw0xLTwQU04GtE5cwblUPypXJVT6oGvWo&dib_tag=se&keywords=smartphone&qid=1726687878&sprefix=%2Caps%2C228&sr=8-10,4.1 out of 5 stars,"7,472",
